STATE,STARTING SALARY,TOP BACHELOR'S,STARTING MASTER'S,TOP MASTER'S,TOP SALARY
Alabama,"$43,679","$66,886","$50,164","$76,866","$88,773"
Alaska,"$51,207","$66,714","$56,825","$81,273","$92,052"
Arizona,"$44,124","$58,130","$46,721","$66,654","$73,875"
Arkansas,"$37,907","$50,551","$42,156",NA,"$56,426"
California,"$55,283",NA,NA,NA,"$109,618"
Colorado,"$39,044","$50,249","$42,857","$61,928","$70,200"
Connecticut,"$48,784",NA,"$52,924","$92,957",NA
Delaware,"$45,188","$63,664","$51,209","$79,968","$90,870"
Dist. of Columbia,"$63,373","$100,488","$67,958","$123,994","$131,003"
Federal,"$56,327","$109,056","$64,291","$117,444","$135,361"
Florida,"$47,178","$63,598","$49,986","$65,754","$68,397"
Georgia,"$41,148","$59,760","$46,465","$67,839","$83,545"
Hawaii,"$50,123","$71,403","$54,132","$77,115","$91,948"
Idaho,"$41,179","$57,223","$45,262","$62,396","$64,361"
Illinois,"$43,515","$64,150","$47,817","$79,419","$87,888"
Indiana,"$42,735",NA,NA,NA,"$75,700"
Iowa,"$39,986",NA,NA,NA,"$74,784"
Kansas,"$41,200","$46,469","$44,121","$56,530","$63,598"
Kentucky,"$39,204","$56,245","$43,116","$61,274","$66,364"
Louisiana,"$45,593","$58,437","$46,585","$60,206","$62,565"
Maine,"$41,163","$66,776","$43,878","$70,630","$73,179"
Maryland,"$51,548","$69,638","$54,263","$89,955","$99,394"
Massachusetts,"$51,057","$80,671","$55,135","$89,313","$99,856"
Michigan,"$40,302",NA,NA,"$74,975",NA
Minnesota,"$43,182","$58,378","$48,626","$70,781","$76,371"
Mississippi,"$42,336","$61,915","$43,871","$67,341","$72,690"
Missouri,"$36,829","$45,385","$38,984","$55,150","$59,886"
Montana,"$34,476","$46,947","$38,782","$64,495","$69,362"
Nebraska,"$37,797","$46,601","$44,756","$64,042","$72,253"
Nevada,"$43,695","$56,829","$49,912","$74,113","$83,643"
New Hampshire,"$41,590","$62,452","$45,544","$70,161","$74,837"
New Jersey,"$56,434","$87,853","$60,297","$92,722","$96,564"
New Mexico,"$50,628","$65,692","$59,118","$75,980","$77,012"
New York,"$49,315","$80,230","$53,747","$91,537","$100,413"
North Carolina,"$40,136","$58,578","$44,150","$64,435","$67,180"
North Dakota,"$42,393","$62,806","$45,950",NA,"$67,544"
Ohio,"$40,055","$70,021","$44,352","$81,677","$86,832"
Oklahoma,"$38,192","$53,195","$39,638","$55,261","$57,584"
Oregon,"$42,050","$60,180","$46,761","$74,095","$80,110"
Pennsylvania,"$49,083","$75,083","$53,180","$82,583","$88,454"
Rhode Island,"$46,066","$87,843","$49,269","$91,195","$93,518"
South Carolina,"$42,026","$61,028","$47,365","$68,548","$82,696"
South Dakota,"$42,907","$56,594","$47,149","$58,722",NA
Tennessee,"$42,164","$56,087","$45,875","$61,197","$69,428"
Texas*,"$47,195","$65,116","$50,159","$67,346","$66,461"
Utah,"$49,555","$72,419","$53,912","$84,210","$88,708"
Vermont,"$43,060","$64,553","$48,124","$74,065","$80,597"
Virginia,"$46,250","$73,060","$49,155","$77,039","$79,165"
Washington,"$55,631","$66,752","$65,620","$96,842","$107,639"
West Virginia,"$40,339","$61,458","$43,168","$64,337","$68,167"
Wisconsin,"$41,151",NA,NA,NA,"$77,083"
Wyoming,"$48,622","$58,218","$53,247","$69,677","$77,088"
United States,"$44,530","$63,819","$48,182","$74,276","$81,026"